"D154" "D151" "D171" "D135" "D168" "D159"
"DIABRO_000249" 6.96718064937774 6.85357927779399 7.17855654634985 6.87815138965445 6.96109203148293 6.44170921518702
"DIABRO_000250" 13.4908380959993 11.9517972049402 12.9135118708968 12.8961630755322 10.4260356394601 12.6106914048546
"DIABRO_000251" 5.8124003964559 5.82558064927863 12.7459646188137 5.82448971416809 5.67951016116902 11.2905900669571
"DIABRO_000252" 12.6678418426403 12.2435438076582 14.0949736857304 12.4265246381566 12.458335685851 12.6751361721392
"DIABRO_000253" 9.36017432710727 8.90641052183793 9.58072590086121 9.41433225423627 7.99150203879389 8.9895792882214
"DIABRO_000255" 8.76312576650148 9.61972763879319 9.55902686565249 9.29841665419323 10.0457999432142 9.40926950025869
"DIABRO_000256" 5.88545959572499 5.88207422900799 5.50196664240793 5.72016045094632 5.37674282518546 6.63924625989917
"DIABRO_000258" 7.95551552799221 8.28715784839593 9.11747744809028 8.00452744305564 7.2861355464157 8.47191442308403
"DIABRO_000259" 7.81495792113015 7.52236554329161 8.51087937628085 7.63627555794197 7.099813715658 7.64552074626926
"DIABRO_000260" 7.73238123560695 7.13053870550785 7.54043064822391 7.37443167230178 7.04325903753278 7.46573807747558
"DIABRO_000261" 9.11237768274382 8.96066377494086 8.99824293339652 9.27071269889781 9.31041759398861 9.23821803359941
"DIABRO_000262" 12.0943680247436 12.4414227839649 12.0442427696551 12.0889082080366 12.0260790975211 12.4009845424613
"DIABRO_000263" 6.38900742688162 6.60971458830918 6.52189013681797 6.51896556940033 7.036008242027 6.41589653935729
"DIABRO_000264" 10.0741338803385 10.092251462941 9.49365228086047 10.4768199945217 10.2560860858278 9.99528717836286
"DIABRO_000265" 10.3660252520601 10.3887286086207 10.2232893889025 10.5869903084225 10.5657703764 9.62867066201586
"DIABRO_000266" 6.96718064937774 8.02866005042949 5.50196664240793 7.4584897817767 7.18667616411232 5.83705656285963
"DIABRO_000267" 6.80444722029668 7.13053870550785 5.50196664240793 7.26123709656358 6.83087143557304 5.99714530382881
"DIABRO_000268" 8.27293940375985 8.31090792745319 7.25060208681734 7.57543430759046 8.19318716900771 7.2834151209022
"DIABRO_000270" 5.88545959572499 6.3296273771613 7.23296240037782 5.75692324572924 5.84375930267114 7.6407022210993
"DIABRO_000271" 7.70593885117228 5.65749938408477 7.705913110956 8.10126421221821 6.01487044247726 7.57645301854598
"DIABRO_000272" 5.68433087139586 6.17301891430143 5.50196664240793 6.06759322022606 5.79366841629284 6.21397971535448
"DIABRO_000274" 8.03137550988855 5.52351974881145 7.95595797568973 7.91520506400493 5.81918790863331 7.74296436436062
"DIABRO_000275" 12.3808456844485 12.5926770358988 12.7159830159102 12.5776949761657 12.6799827478576 12.4706534423942
"DIABRO_000276" 7.29572970366739 7.15437147897984 7.88667764922674 7.47199821178256 7.23112897638262 7.2385002641905
"DIABRO_000277" 6.32889996607481 5.90870433683256 6.34822387122263 6.15583411510071 5.37674282518546 6.47928019857459
"DIABRO_000279" 8.34643938641465 7.93064597724444 7.94552221994827 8.35688089858398 8.00917527008342 7.82973644321543
"DIABRO_000280" 10.4342918107465 10.1276377394898 9.89627620189035 10.9137372761228 10.2050044329608 10.635908605904
"DIABRO_000281" 10.6740152557031 10.4965068863564 9.92263749435579 10.7004228685964 10.3096290467977 10.8240644018937
"DIABRO_000282" 9.66474243119178 10.3568542217563 10.0807970146916 10.1607425666064 10.2798905303131 10.7516132729435
"DIABRO_000283" 7.24960701811278 7.35791684622242 7.94552221994827 7.31527630825887 7.82943194263706 7.40387401149332
"DIABRO_000284" 6.42720267558808 6.68145175833534 7.21507993916782 6.53344016743882 6.77818001132047 7.23195555445125
"DIABRO_000285" 9.85418776622358 10.7779543149061 10.3026749510986 11.1898101764034 10.7623485993734 11.0817315781367
"DIABRO_000287" 7.95551552799221 8.94997670192957 6.76570615695368 7.03808292654448 8.4665906587429 7.98845207654536
"DIABRO_000288" 10.5867394475557 10.7591834206852 10.4701045497839 10.5795015460404 10.5003612921636 10.8891092639618
"DIABRO_000289" 10.8613844290748 9.84227902454771 9.2978288362943 10.6519799347758 9.60281232384979 10.7064396846796
"DIABRO_000290" 10.7035987740318 8.77198455504787 9.95236777879676 9.83542007163438 9.15955002598133 8.95404317398355
"DIABRO_000291" 10.3619070378021 10.0329528172043 9.98650252963194 9.96301499285073 10.2912919969262 10.2744385520907
"DIABRO_000292" 6.28672072542324 6.00664474000799 7.20604535639934 5.88581051182048 6.68476966656579 7.04135590231406
"DIABRO_000297" 6.44578784715603 6.50630437303027 8.58589712300316 6.6165109210471 6.56162212384934 6.62855194116205
"DIABRO_000300" 5.10409291609478 5.69519984061999 5.89251671900472 5.48313750462089 5.76709083781507 5.5451292702822
"DIABRO_000301" 11.5725772619922 14.2178560165849 12.353355500257 11.7684723835785 14.411235625792 12.7990030271811
